slug,name,equipment,media_thumb,media_video,source_url,external_id
planche-de-cote-dynamique,Planche de cote dynamique,"[""bodyweight""]",,,https://wger.de/en/exercise/1288,1288
curl-con-mancuernas-sentado,Curl con mancuernas sentado,"[""db""]",,,https://wger.de/en/exercise/1289,1289
reverse-grip-barbell-curls,Reverse Grip Barbell Curls,"[""barbell""]",,,https://wger.de/en/exercise/1290,1290
trazioni-impugnatura-inversa,Trazioni impugnatura inversa,"[""bodyweight""]",,,https://wger.de/en/exercise/1292,1292
one-armed-push-ups,One armed push-ups,"[""bodyweight""]",,,https://wger.de/en/exercise/1293,1293
arco-femorale-una-gamba,Arco femorale una gamba,"[""bodyweight""]",,,https://wger.de/en/exercise/1294,1294
barbell-bench-press-nb,Barbell Bench Press - NB,"[""barbell""]",,,https://wger.de/en/exercise/1295,1295
low-cable-cross-over-nb,Low-Cable Cross-Over - NB,"[""bodyweight""]",,,https://wger.de/en/exercise/1296,1296
ez-bar-skullcrusher-nb,EZ-Bar Skullcrusher - NB,"[""bodyweight""]",,,https://wger.de/en/exercise/1297,1297
high-cable-cross-tricep-extention-nb,High-Cable Cross Tricep Extention - NB,"[""bodyweight""]",,,https://wger.de/en/exercise/1298,1298
preacher-curl-internally-rotated,Preacher Curl - Internally Rotated,"[""db""]",,,https://wger.de/en/exercise/1657,1657
lat-pulldown-cross-body-single-arm,Lat Pulldown - Cross Body Single Arm,"[""bodyweight""]",,,https://wger.de/en/exercise/1659,1659
cable-chest-press-incline,Cable Chest Press - Incline,"[""bodyweight""]",,,https://wger.de/en/exercise/1660,1660
jm-press,JM Press,"[""barbell""]",,,https://wger.de/en/exercise/1302,1302
helms-row,Helms Row,"[""db""]",,,https://wger.de/en/exercise/1303,1303
meadows-row,Meadows Row,"[""barbell""]",,,https://wger.de/en/exercise/1304,1304
cable-triceps-press,Cable Triceps Press,"[""bodyweight""]",,,https://wger.de/en/exercise/1661,1661
cable-tri-extension-internal-rotation,Cable Tri Extension - Internal Rotation,"[""bodyweight""]",,,https://wger.de/en/exercise/1662,1662
front-plank,Front Plank,"[""bodyweight""]",,,https://wger.de/en/exercise/1307,1307
cable-tri-extension-external-rotation,Cable Tri Extension - External Rotation,"[""bodyweight""]",,,https://wger.de/en/exercise/1665,1665
curl-with-shoulder-elevated,Curl  - With Shoulder Elevated,"[""db""]",,,https://wger.de/en/exercise/1666,1666
bodyweight-squat-hd,Bodyweight Squat HD,"[""bodyweight""]",,,https://wger.de/en/exercise/1312,1312
lying-leg-raise,Lying Leg Raise,"[""bodyweight""]",,,https://wger.de/en/exercise/1313,1313
jumping-jack-hd,Jumping Jack HD,"[""bodyweight""]",,,https://wger.de/en/exercise/1314,1314
bodyweight-squat-hd,Bodyweight Squat HD,"[""bodyweight""]",,,https://wger.de/en/exercise/1315,1315
jumping-jack-hd,Jumping Jack HD,"[""bodyweight""]",,,https://wger.de/en/exercise/1316,1316
plancha-hd,Plancha HD,"[""bodyweight""]",,,https://wger.de/en/exercise/1317,1317
high-knee-skips-hd,High Knee Skips HD,"[""bodyweight""]",,,https://wger.de/en/exercise/1318,1318
abdominales-hd,Abdominales HD,"[""bodyweight""]",,,https://wger.de/en/exercise/1319,1319
bench-dips-on-floor-hd,Bench Dips On Floor HD,"[""bodyweight""]",,,https://wger.de/en/exercise/1320,1320
plancha-lateral-hd,Plancha Lateral HD,"[""bodyweight""]",,,https://wger.de/en/exercise/1321,1321
kopf-ber-gewichtaufheben,Kopfüber Gewichtaufheben,"[""kb""]",,,https://wger.de/en/exercise/1322,1322
bodyweight-lunge-hd,Bodyweight lunge HD,"[""bodyweight""]",,,https://wger.de/en/exercise/1324,1324
lateral-push-off,Lateral Push Off,"[""bodyweight""]",,,https://wger.de/en/exercise/1325,1325
extension-triceps-poulie-basse-un-bras,Extension Triceps Poulie Basse à Un Bras,"[""band""]",,,https://wger.de/en/exercise/1668,1668
jumping-jacks,Jumping Jacks,"[""bodyweight""]",,,https://wger.de/en/exercise/1669,1669
c-rculos-de-perna-frente-tr-s,Círculos de perna (frente-trás),"[""bodyweight""]",,,https://wger.de/en/exercise/1670,1670
seated-hip-abduction,Seated Hip Abduction,"[""bodyweight""]",,,https://wger.de/en/exercise/1672,1672
dumbbell-romanian-deadlifts,Dumbbell Romanian Deadlifts,"[""db""]",,,https://wger.de/en/exercise/1673,1673
dumbbell-floor-press,Dumbbell Floor Press,"[""db""]",,,https://wger.de/en/exercise/1674,1674
forearm-curls-underhand-grip,Forearm Curls (underhand grip),"[""db""]",,,https://wger.de/en/exercise/1333,1333
push-ups,Push-Ups,"[""bodyweight""]",,,https://wger.de/en/exercise/1675,1675
triceps-overhead-dumbbell,Triceps Overhead (Dumbbell),"[""db""]",,,https://wger.de/en/exercise/1336,1336
shoulder-press-dumbbell,Shoulder Press (Dumbbell),"[""db""]",,,https://wger.de/en/exercise/1337,1337
schoulder-raise-dumbbell,Schoulder Raise (Dumbbell),"[""db""]",,,https://wger.de/en/exercise/1338,1338
dumbbell-bench-press,Dumbbell Bench Press,"[""db""]",,,https://wger.de/en/exercise/1676,1676
wall-angels,Wall Angels,"[""bodyweight""]",,,https://wger.de/en/exercise/1679,1679
seated-figure-four,seated figure four,"[""bench""]",,,https://wger.de/en/exercise/1680,1680
zottman-curl,Zottman curl,"[""db""]",,,https://wger.de/en/exercise/1683,1683
lower-back-extensions,Lower Back Extensions,"[""bodyweight""]",,,https://wger.de/en/exercise/1348,1348
lat-pull-down-close-grip,Lat Pull Down (close grip),"[""bodyweight""]",,,https://wger.de/en/exercise/1350,1350
thruster,Thruster,"[""barbell""]",,,https://wger.de/en/exercise/650,650
dumbbell-thruster,Dumbbell Thruster,"[""db""]",,,https://wger.de/en/exercise/1684,1684
dumbbell-hex-press,Dumbbell Hex Press,"[""db""]",,,https://wger.de/en/exercise/1353,1353
glute-bridge-single-arm-press,Glute Bridge Single-Arm Press,"[""db""]",,,https://wger.de/en/exercise/1686,1686
bear-crawl-pull-through,Bear crawl pull through,"[""db""]",,,https://wger.de/en/exercise/1687,1687
double-kettlebell-clean-and-press,Double Kettlebell Clean and Press,"[""kb""]",,,https://wger.de/en/exercise/1360,1360
double-kettlebell-front-squat,Double Kettlebell Front Squat,"[""kb""]",,,https://wger.de/en/exercise/1361,1361
single-leg-rdl,Single Leg RDL,"[""bodyweight""]",,,https://wger.de/en/exercise/1389,1389
blackroll,Blackroll,"[""bodyweight""]",,,https://wger.de/en/exercise/1363,1363
calf-raise-with-machine-seated,Calf Raise with machine (seated),"[""bodyweight""]",,,https://wger.de/en/exercise/1365,1365
dumbbell-split-squat,Dumbbell Split Squat,"[""db""]",,,https://wger.de/en/exercise/1366,1366
dumbbell-deadlift,Dumbbell Deadlift,"[""db""]",,,https://wger.de/en/exercise/1370,1370
triceps-dips-assisted,Triceps Dips (Assisted),"[""bodyweight""]",,,https://wger.de/en/exercise/1372,1372
boxspr-nge,Boxsprünge,"[""bodyweight""]",,,https://wger.de/en/exercise/1373,1373
bauch-twist-ger-t,Bauch-Twist Gerät,"[""bodyweight""]",,,https://wger.de/en/exercise/1374,1374
recumbent-bike,Recumbent Bike,"[""bodyweight""]",,,https://wger.de/en/exercise/1376,1376
torso-twist,TORSO TWIST,"[""bodyweight""]",,,https://wger.de/en/exercise/1377,1377
cable-lateral-raises-single-arm,Cable Lateral Raises (Single Arm),"[""bodyweight""]",,,https://wger.de/en/exercise/1378,1378
band-pull-aparts,Band pull-aparts,"[""bodyweight""]",,,https://wger.de/en/exercise/1380,1380
upper-back,Upper Back,"[""bodyweight""]",,,https://wger.de/en/exercise/1381,1381
pullover-machine,Pullover Machine,"[""bodyweight""]",,,https://wger.de/en/exercise/1384,1384
hamstring-kicks,Hamstring Kicks,"[""bodyweight""]",,,https://wger.de/en/exercise/1387,1387
single-leg-rdl,Single Leg RDL,"[""bodyweight""]",,,https://wger.de/en/exercise/1388,1388
toe-touch,Toe Touch,"[""bodyweight""]",,,https://wger.de/en/exercise/1390,1390
elephant-walks,Elephant Walks,"[""bodyweight""]",,,https://wger.de/en/exercise/1391,1391
good-morning,Good Morning,"[""bodyweight""]",,,https://wger.de/en/exercise/1392,1392
single-leg-hamstring-stretch,Single Leg Hamstring Stretch,"[""bodyweight""]",,,https://wger.de/en/exercise/1393,1393
sit-reach,Sit & Reach,"[""bodyweight""]",,,https://wger.de/en/exercise/1394,1394
crossbody-leg-swings,Crossbody Leg Swings,"[""bodyweight""]",,,https://wger.de/en/exercise/1395,1395
