slug,name,equipment,body_parts,exercise_type,target_muscles,media_thumb,media_video,source_url,external_id
one-arm-revers-wrist-curl,One Arm Revers Wrist Curl,"[""db""]",FOREARMS,STRENGTH,,https://cdn.exercisedb.dev/w/images/bazYWPE/41n2hpeHAizgtrEw__Dumbbell-One-arm-Revers-Wrist-Curl_Forearms.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hpeHAizgtrEw,exr_41n2hpeHAizgtrEw
goblet-squat,Goblet Squat,"[""db""]",THIGHS,STRENGTH,,https://cdn.exercisedb.dev/w/images/7zfmW8Q/41n2hQDiSwTZXM4F__Dumbbell-Goblet-Squat_Thighs.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hQDiSwTZXM4F,exr_41n2hQDiSwTZXM4F
dumbbell-stiff-leg-deadlift,Dumbbell Stiff Leg Deadlift,"[""db""]",THIGHS,STRENGTH,,https://cdn.exercisedb.dev/w/images/o15V0MS/41n2hQp1pR7heQq9__Dumbbell-Stiff-Leg-Deadlift-(female)_Waist.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hQp1pR7heQq9,exr_41n2hQp1pR7heQq9
dumbbell-standing-calf-raise,Dumbbell Standing Calf Raise,"[""db""]",CALVES,STRENGTH,,https://cdn.exercisedb.dev/w/images/3oXnDty/41n2hQtaWxPLNFwX__Dumbbell-Standing-Calf-Raise_Calf.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hQtaWxPLNFwX,exr_41n2hQtaWxPLNFwX
seated-shoulder-press,Seated Shoulder Press,"[""db""]",SHOULDERS,STRENGTH,,https://cdn.exercisedb.dev/w/images/y7xLPmP/41n2hs6camM22yBG__Dumbbell-Seated-Shoulder-Press_Shoulders.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hs6camM22yBG,exr_41n2hs6camM22yBG
palms-in-incline-bench-press,Palms In Incline Bench Press,"[""db""]",UPPER ARMS,STRENGTH,,https://cdn.exercisedb.dev/w/images/kiVYKNz/41n2hsVHu7B1MTdr__Dumbbell-Palms-In-Incline-Bench-Press_Upper-Arms.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hsVHu7B1MTdr,exr_41n2hsVHu7B1MTdr
dumbbell-burpee,Dumbbell Burpee,"[""db""]",FULL BODY,CARDIO,,https://cdn.exercisedb.dev/w/images/9W5kw6w/41n2hTaeNKWhMQHH__Dumbbell-burpee_Cardio.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hTaeNKWhMQHH,exr_41n2hTaeNKWhMQHH
dumbbell-side-bend,Dumbbell Side Bend,"[""db""]",WAIST,STRENGTH,,https://cdn.exercisedb.dev/w/images/ySebtfZ/41n2hTCBiQVsEfZ7__Dumbbell-Side-Bend_Waist.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hTCBiQVsEfZ7,exr_41n2hTCBiQVsEfZ7
seated-calf-raise,Seated Calf Raise,"[""barbell""]",CALVES,STRENGTH,,https://cdn.exercisedb.dev/w/images/ny7VIEO/41n2hTs4q3ihihZs__Barbell-Seated-Calf-Raise_Calves.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hTs4q3ihihZs,exr_41n2hTs4q3ihihZs
standing-leg-calf-raise,Standing Leg Calf Raise,"[""barbell""]",CALVES,STRENGTH,,https://cdn.exercisedb.dev/w/images/JHkp7NU/41n2hvzxocyjoGgL__Barbell-Standing-Leg-Calf-Raise_Calf.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hvzxocyjoGgL,exr_41n2hvzxocyjoGgL
barbell-standing-calf-raise,Barbell Standing Calf Raise,"[""barbell""]",CALVES,STRENGTH,,https://cdn.exercisedb.dev/w/images/4eFp5ph/41n2hwoc6PkW1UJJ__Barbell-Standing-Calf-Raise_Calves.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hwoc6PkW1UJJ,exr_41n2hwoc6PkW1UJJ
neck-side-stretch,Neck Side Stretch,"[""bodyweight""]",NECK,STRENGTH,,https://cdn.exercisedb.dev/w/images/EcOvzV8/41n2hGbCptD8Nosk__Neck-Side-Stretch-(female)_Neck.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hGbCptD8Nosk,exr_41n2hGbCptD8Nosk
calves-stretch,Calves Stretch,"[""bodyweight""]",CALVES,STRENGTH,,https://cdn.exercisedb.dev/w/images/I7IVJlQ/41n2hGD4omjWVnbS__Calves-stretch-(male)_Calves.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hGD4omjWVnbS,exr_41n2hGD4omjWVnbS
hammer-curl,Hammer Curl,"[""cable""]",FOREARMS,STRENGTH,,https://cdn.exercisedb.dev/w/images/vvtrwNo/41n2hGioS8HumEF7__Cable-Hammer-Curl-(with-rope)-m_Forearms.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hGioS8HumEF7,exr_41n2hGioS8HumEF7
decline-push-up,Decline Push-Up,"[""bodyweight""]",CHEST,STRENGTH,,https://cdn.exercisedb.dev/w/images/RKnSv6J/41n2hGUso7JFmuYR__Decline-Push-Up-m_chest.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hGUso7JFmuYR,exr_41n2hGUso7JFmuYR
lever-seated-calf-raise,Lever Seated Calf Raise,"[""machine""]",CALVES,STRENGTH,,https://cdn.exercisedb.dev/w/images/J9q3jDe/41n2hhiWL8njJDZe__Lever-Seated-Calf-Raise-(plate-loaded)_Calf.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hhiWL8njJDZe,exr_41n2hhiWL8njJDZe
seated-shoulder-flexor-depresor-retractor-stretch,Seated Shoulder Flexor Depresor Retractor Stretch,"[""bodyweight""]",SHOULDERS,STRENGTH,,https://cdn.exercisedb.dev/w/images/aUzXmXR/41n2hJ5Harig7K7F__Seated-Shoulder-Flexor-Depresor-Retractor-Stretch_Shoulders.png,,https://exercisedb-api1.p.rapidapi.com/api/v1/exercises/exr_41n2hJ5Harig7K7F,exr_41n2hJ5Harig7K7F
